[(22.1, 88.57821677802148),
 (31.254119728445406, 79.57624459685668),
 (44.2, 74.17506128815779),
 (62.50823945689081, 70.57427241569188),
 (88.4, 66.97348354322595),
 (125.01647891378163, 63.372694670760026),
 (176.8, 59.77190579829411),
 (250.03295782756325, 59.77190579829411),
 (353.6, 55.270919707711705),
 (500.0659156551265, 53.47052527147874),
 (707.2, 44.46855309031393),
 (1000.131831310253, 39.06736978161505),
 (1414.4, 38.167172563498575),
 (2000.263662620506, 40.86776421784802),
 (2828.8, 41.767961435964494),
 (4000.527325241012, 38.167172563498575),
 (5657.6, 36.36677812726561),
 (8001.054650482024, 41.767961435964494),
 (11315.2, 46.268947526546896),
 (16002.109300964048, 61.57230023452706)]
